peaks,sigmas,xcenter,amps,pangle
"[303.86382748231614, 310.3559429685437, 353.475596313667, 357.8043679022925, 390.33766866716417, 395.88565981308824, 422.8958922940183, 426.54730329911354, 451.1912355522979, 454.52024393563835, 477.0919992793458, 501.30339009322165, 503.0509197481399, 523.516764053015, 544.2968755189405, 564.1532003655793, 582.864574782549, 600.0010375377703]","[5.4739243230351216, 3.6683465701408613, 8.12181747204019, 3.9292982013645616, 2.905375363602885, 4.96693290769203, 2.905200021731931, 2.1737123215703473, 2.2945281610456703, 2.4969930240334324, 2.254730013021852, 2.769863775544746, 3.055973334698314, 2.671187543136958, 2.6313125141892493, 2.797118771860266, 2.8341068756727315, 2.085964718239949]",226.3670090127856,296,0
"[302.85292262205616, 313.420411541703, 351.777789543391, 360.7209642245503, 390.0769091888289, 397.47212739041555, 422.2435218465727, 428.6631862709516, 451.2027312857578, 456.55581754863135, 477.06766592064315, 482.28871655933307, 500.96461805618566, 505.2500296436232, 523.3733872096897, 529.2256567419952, 544.1811582987386, 547.2264445527372, 564.0512505036446, 566.490062587148, 583.0165400136898, 582.5636846890814, 602.1958796670253, 619.5241809483671]","[5.7837028221772835, 3.425342599490278, 4.441623185560628, 3.2242854698834296, 2.5709812144613235, 2.9541395827374473, 2.024465637741357, 1.9522730226706841, 1.8174585412812438, 2.1213436312160585, 2.2507795347778603, 2.8940818223659135, 1.9993248940547523, 1.9417598004551495, 2.047179608597281, 5.863646185799978, 2.402975147345507, 2.273640145579035, 2.446730225832524, 4.235239262066452, 3.048532122489521, 8.886179002477096, 10.794722679974825, 8.533410066989006]",233.08773841961857,411,0
"[307.83956854196634, 356.65860866051264, 394.54917517407245, 426.3581575687616, 454.3371661020462, 479.74340162624304, 502.9861143202555, 524.7748268441231, 545.1682081000041, 564.6845800259647, 583.3741580576907, 600.6798413193136]","[2.8704865425167454, 2.3729495801567855, 2.3915663687985695, 2.1577813577299296, 1.8261801586847053, 2.333747738343931, 1.852379553637944, 1.8614076069470988, 2.1500106520520568, 1.9673298788432456, 2.3118263240434738, 1.83672724086651]",212.49747730161022,907,90
"[301.7978287056233, 351.2407280797234, 388.7769149592746, 420.6321370483685, 447.3651415408697, 447.6524235500267, 473.415431756363, 497.8650585050778, 519.5156693860722, 539.787913437523, 559.4691442254782, 577.9742788486755, 595.783284452995]","[5.996046886636706, 5.013011231387866, 4.223877764353347, 3.856162050912846, 2.0382013389646825, 5.7485797786921955, 2.465895484839575, 3.7491196466304806, 2.7552657131866427, 2.9037049653737323, 2.2156340752995107, 2.4197079124786858, 1.9519321786761092]",217.89771536365546,204,0
"[299.88245076006746, 348.7470759211047, 386.419246577485, 418.01877393609993, 446.500829666503, 471.8031765709055, 495.17790571057304, 516.8935885650668, 537.2592341898752, 556.5997029349613, 575.5087323176017, 592.6406667765572]","[3.499685190015154, 2.961895180074658, 2.107692478366756, 1.8248331515805902, 1.7487943516407918, 2.868402865418253, 2.101169944665762, 2.0115840365718256, 2.094311648937422, 2.2259659307308945, 2.6663678571487774, 1.85035061248613]",206.8732341228254,623,90
"[299.09968712844454, 347.8579907116972, 385.94442497187026, 417.7279388610133, 445.80981195670876, 471.3654198075076, 494.60294678530755, 516.6694250897397, 537.2349541652225, 556.5180863730202, 574.7408051217387]","[3.1110050792298862, 2.7583992417591285, 2.1750331500784714, 2.058106721276959, 1.9577428638314172, 2.144265879979109, 2.0981523199450063, 2.0254687230342374, 2.437712742967306, 2.046231422197055, 2.0534431017654025]",204.6211935524842,517,90
"[311.39967290720733, 360.3484677360439, 397.9665926750795, 429.790099242778, 457.8905569358811, 483.5787918089054, 506.4940263955347, 528.4071586046359, 548.8225932375673, 568.7064295193228, 586.6986995001063, 604.5505290779929]","[3.567863295053314, 3.0138953306957776, 2.209938670723748, 2.2297768925673918, 1.8094046393749912, 2.5474682609038077, 2.231416814057259, 2.1692568109817567, 1.9433908265810607, 2.5902549208764127, 1.9565345938155794, 1.9455756157523427]",217.53084259065184,204,90
"[314.7356604805091, 363.16744335098736, 401.29681220295413, 432.9657068927062, 461.2707389524077, 486.43120792110545, 509.86335673514765, 531.8740140806286, 551.999414179723, 571.6573661135327, 589.8716762078557, 607.7516479760945]","[3.3463940637956506, 2.352271194315433, 2.373946658932662, 1.9267759869679337, 2.0966746545494392, 1.9069238563616648, 1.9548720421822106, 2.3587564407774897, 2.2834303392413347, 1.937396907434438, 1.7091281721984553, 1.8897710791823061]",219.94634248585203,113,90
"[319.0029473150172, 367.5874966433392, 405.51404055564905, 437.4503820545389, 465.66547438519154, 491.04774978445727, 514.5558840484872, 536.2477855885897, 556.4101943545587, 576.0284037998351, 594.6393932785164, 612.4420999990574, 629.3532737459716]","[3.8845717932116997, 2.355930904355503, 2.4175519077110663, 1.863342926150442, 2.0888750581465705, 2.4667253772809925, 2.259674764685668, 2.1537581407571955, 2.156052142628152, 1.9271289196205588, 2.059559884599079, 2.2086164550464438, 1.9999346587778981]",225.99664640536577,411,90
"[287.4504468518854, 312.18768007497863, 339.08171076090304, 357.46540910670745, 378.6050209536457, 393.7588321197257, 411.75932260328995, 424.74303727849895, 440.85105690704313, 452.57713947083255, 467.1837273460698, 477.51069185602523, 491.27252680300984, 500.6947966428191, 513.4423059529817, 522.8712029357337, 534.5284224640758, 542.5586939316977, 554.4965423049975, 561.8441845771498, 572.8112077013411, 580.9651453076978, 590.643800531924, 597.9277438614791]","[7.078803686539913, 3.7584913946985834, 3.349471318811346, 2.4168127493414566, 2.9088177109007, 2.0508951227482677, 2.359141601821854, 1.844785916465614, 1.9169997452146372, 1.655386640566591, 2.094934619730375, 1.6805793156101714, 2.1802352889624657, 1.7470010064461932, 1.9326231170693717, 2.5664739857094885, 2.340886622523917, 1.7079562005964564, 2.772354122200425, 2.026667925978154, 2.268930412051785, 3.0389423151973656, 2.1302291572459726, 1.8997283711910118]",239.3330643470971,812,0
